,Method,n_aero_coef,SE,FD_type,n_modes,n_freq,g_node_num,f_min,f_max,SWind,KG,skew_approach,f_array_type,make_M_C_freq_dep,dtype_in_response_spectra,Nw_idx,Nw_or_equiv_Hw,cospec_type,beta_DB,std_max_dof_0,std_max_dof_1,std_max_dof_2,std_max_dof_3,std_max_dof_4,std_max_dof_5,damping_ratio,damping_Ti,damping_Tj
0,2D_fit_cons,6,True,3D_full,100,128,201,0.002,0.5,False,True,3D,equal_energy_bins,False,float64,,,2,3.490658503988659,0.6019112788193688,2.13010680866932,0.07228464384440388,0.0011082726171470617,0.0007221332314031962,0.003127424064707067,0.005,120.0,2.0
1,2D_fit_cons,6,True,3D_full,100,128,201,0.002,0.5,False,True,3D,equal_energy_bins,False,float64,,,2,2.443460952792061,0.8171387750487689,2.8987812658720404,0.06859858801941397,0.0018093626575669806,0.0006738427591337255,0.004293603779105349,0.005,120.0,2.0
2,2D_fit_cons,6,True,3D_full,100,128,201,0.002,0.5,False,True,3D,equal_energy_bins,False,float64,,,2,1.7453292519943295,0.9131432508352089,3.23521959653533,0.05950261992291018,0.0020189285175926303,0.0005989714291325678,0.004800098200800067,0.005,120.0,2.0
3,2D_fit_cons,6,True,3D_full,100,128,201,0.002,0.5,False,True,3D,equal_energy_bins,False,float64,,,2,0.6981317007977319,0.6927155438908041,2.4596641629661757,0.0733263253351081,0.001463502192316988,0.000731355146246715,0.0036316586160842434,0.005,120.0,2.0
4,2D_fit_cons,6,True,3D_full,100,128,201,0.002,0.5,False,True,3D,equal_energy_bins,False,float64,,,2,5.235987755982988,0.8901649535259103,3.1576863099640713,0.06201471195711912,0.002026571250592696,0.0006155886467399546,0.004679567760749772,0.005,120.0,2.0
