test_case_name,SOH_beta_uncorrected[deg],alpha[deg],beta[deg],theta[deg],Cd_U_H_SOHreport,Ca_U_SOHreport,Cl_U_SOHreport,Cra_U_SOHreport,Cd_Uyz_H,Ca_Uyz,Cl_Uyz,Crd_Uyz,Cra_Uyz,Crl_Uyz,Cx_Ls,Cy_Ls,Cz_Ls,Cxx_Ls,Cyy_Ls,Czz_Ls,Cq_bar_Lw,Cp_bar_Lw,Ch_bar_Lw,Cqq_bar_Lw,Cpp_bar_Lw,Chh_bar_Lw
K71_003.0Tilt_000.1Skew_East_Smooth.mat,0.0,-3.0,0.0,3.0,0.581270972771676,3.78866899795436e-18,0.05332055175832833,0.07618560407522085,0.581270972771676,3.788668997954361e-18,0.05332055175832834,-4.658629556963044e-18,0.07618560407522086,2.4414842958277125e-19,0.0,0.06187366023562351,0.05663638713320326,-0.07618560407522085,0.0,0.0,0.0,0.06475298401342504,0.05332055175832833,-0.07618560407522085,0.0,0.0
K71_001.5Tilt_000.1Skew_East_Smooth.mat,0.0,-1.5,0.0,1.5,0.5916306013778402,4.0809192425028214e-18,-0.029110258070053168,0.05603301487741304,0.5916306013778404,4.080919242502822e-18,-0.02911025807005317,-3.429856886624509e-18,0.056033014877413044,8.981396342668505e-20,0.0,0.06664646893037432,-0.027375037639652773,-0.05603301487741304,0.0,0.0,0.0,0.0659070359047853,-0.029110258070053168,-0.05603301487741304,0.0,0.0
K71_000.0Tilt_000.1Skew_East_Smooth.mat,0.0,-0.0,0.0,0.0,0.6263535129619945,4.27249461990869e-18,-0.11322096979625701,0.033898668387376756,0.6263535129619945,4.27249461990869e-18,-0.11322096979625701,-2.0756947867979256e-18,0.033898668387376756,0.0,0.0,0.06977513227296829,-0.11322096979625701,-0.033898668387376756,0.0,0.0,0.0,0.06977513227296829,-0.11322096979625701,-0.033898668387376756,0.0,0.0
K71_-01.5Tilt_000.1Skew_East_Smooth.mat,0.0,1.5,0.0,-1.5,0.6468858216250365,4.097921413127156e-18,-0.19534671056194172,0.010198493313816441,0.6468858216250367,4.0979214131271565e-18,-0.19534671056194175,-6.242636167644005e-19,0.010198493313816443,-1.634691810708956e-20,0.0,0.06692413544836419,-0.1971661441093746,-0.010198493313816441,0.0,0.0,0.0,0.07206241018102737,-0.19534671056194172,-0.010198493313816441,0.0,0.0
K71_-03.0Tilt_000.1Skew_East_Smooth.mat,0.0,3.0,0.0,-3.0,0.7100391870668324,3.944563802072875e-18,-0.27838630542412257,-0.014208989108247428,0.7100391870668326,3.944563802072876e-18,-0.2783863054241226,8.688572787175286e-19,-0.01420898910824743,4.553488049149205e-20,0.0,0.06441961559560248,-0.28214443675188006,0.014208989108247428,0.0,0.0,0.0,0.07909762964734142,-0.27838630542412257,0.014208989108247428,0.0,0.0
K71_003.0Tilt_010.1Skew_East_Smooth.mat,10.1,-3.0,10.113574762285355,2.9534679930081076,0.5777686637142723,0.001405221834756064,0.06812775776143702,0.07879347476464048,0.5961008442442424,0.0014498085040880366,0.07028940208869387,-0.03551200979844062,0.08129353455445865,-0.001164144764739516,-0.0014052218347560604,0.06070909204245431,0.07140288131338304,-0.07879347476464048,-0.03431366742095944,-0.0029281948379002477,0.009277128036640384,0.06361184036710223,0.06821589716026033,-0.08359462963152947,-0.02006873903676893,-0.0018966740923087215
K71_001.5Tilt_010.1Skew_East_Smooth.mat,10.1,-1.5,10.103390889760442,1.4767495807219324,0.5867771957639722,0.003992981429856766,-0.013210305344992412,0.058230880254376664,0.6053952104802123,0.004119675833728334,-0.013629458749546372,-0.03241066378671192,0.06007850383849375,-0.001487331474559811,-0.003992981429856762,0.06568977760601513,-0.011494686374178303,-0.058230880254376664,-0.03136542159102992,-0.0022634174792655077,0.0075925671679318105,0.06505363673391992,-0.013175578505676903,-0.06283016112378534,-0.02071534807107534,-0.00173013089719053
K71_000.0Tilt_010.1Skew_East_Smooth.mat,10.1,-0.0,10.1,0.0,0.6203053023116037,0.004673501506536495,-0.09203479963573717,0.03629232761095483,0.6399871395240451,0.004821788318725541,-0.094954997057168,-0.03780798410026934,0.037443856836059816,-0.0021512657478253185,-0.004673501506536491,0.06910136787409057,-0.09203479963573717,-0.03629232761095483,-0.036645256691488166,-0.002085106821130499,0.007517003557756784,0.06885009307121281,-0.09203479963573717,-0.04215627063444584,-0.029712905068358622,-0.002085106821130499
K71_-01.5Tilt_010.1Skew_East_Smooth.mat,10.1,1.5,10.103390889760442,-1.4767495807219324,0.6302166642175722,0.006967718338546784,-0.1638006816686593,0.015269690231897972,0.650212981752622,0.007188798986367088,-0.16899795846103138,-0.039652071582748666,0.015754186424834993,-0.0020806682920989526,-0.0069677183385467795,0.06589362367702667,-0.1655823165738505,-0.015269690231897974,-0.03847225268820196,-0.0010099403948984414,0.004699719795573917,0.07033942753312501,-0.16382399052108673,-0.02178189466181276,-0.035159252884157395,-0.0019166762516902348
K71_-03.0Tilt_010.1Skew_East_Smooth.mat,10.1,3.0,10.113574762285355,-2.9534679930081076,0.784449636099947,0.003110841470366013,-0.2583732851133468,-0.009091674422788723,0.8093396539371992,0.0032095462133132175,-0.2665712820008375,-0.03547344844289353,-0.00938014665623733,-0.005161906343379888,-0.0031108414703660088,0.07374490293908673,-0.26259266925362273,0.009091674422788722,-0.034597241254392376,-0.003196861198140155,0.0098870990479634,0.08657819594575411,-0.25847506504319895,0.002875129721624301,-0.0354440736633029,-0.005029795122963231
K71_003.0Tilt_019.9Skew_East_Smooth.mat,19.9,-3.0,19.92516179332088,2.820714905714052,0.5782740661128838,0.007265954374296124,0.08755532177074912,0.07621148232647432,0.6540512970880478,0.008218087515208172,0.09902860101621977,-0.05014670751405742,0.08619826097977386,-0.0016356424339296891,-0.007265954374296121,0.05974855604704854,0.09080676710397204,-0.07621148232647432,-0.044200351180166235,-0.003764566636231115,0.01353085298232519,0.06304572698783097,0.08781062191271768,-0.08671249898849638,-0.01574853498379765,-0.002993193919756656
K71_001.5Tilt_019.9Skew_East_Smooth.mat,19.9,-1.5,19.90628580776381,1.4104135194678153,0.6425670736183944,0.005804821040881151,-0.013147545371052744,0.05852894984403165,0.7267692822388158,0.006565486771131063,-0.014870404203432457,-0.04118675143543961,0.06619860340618741,-0.010382553860865116,-0.0058048210408811465,0.07190093961820022,-0.011269259885286249,-0.05852894984403165,-0.03616215328135889,-0.010129735486998177,0.019023038931704643,0.06928289464346458,-0.012978512367921368,-0.06734447846353737,-0.014318465859896778,-0.009780265677339233
